Date,Close,Volume,Open,High,Low
2025-02-06,238.83,60897100,$238.01,$239.6599,$236.01
2025-02-07,229.15,77539280,$232.50,$234.81,$228.06
2025-02-10,233.14,35419930,$230.545,$233.92,$229.20
2025-02-11,232.76,23713730,$231.92,$233.44,$230.13
2025-02-12,228.93,32285250,$230.46,$231.18,$228.16
2025-02-13,230.37,31346510,$228.85,$230.42,$227.52
2025-02-14,228.68,27031080,$229.20,$229.89,$227.23
2025-02-18,226.65,42975130,$228.82,$229.30,$223.72
2025-02-19,226.63,28566710,$225.52,$226.83,$223.71
2025-02-20,222.88,30001670,$224.775,$225.13,$221.81
2025-02-21,216.58,55323850,$223.28,$223.31,$214.74
2025-02-24,212.71,42387590,$217.45,$217.715,$212.42
2025-02-25,212.8,58957980,$211.63,$213.34,$204.16
2025-02-26,214.35,39120600,$214.94,$218.16,$213.09
2025-02-27,208.74,40548570,$218.35,$219.97,$208.37
2025-02-28,212.28,51771740,$208.65,$212.62,$206.99
2025-03-03,205.02,42948450,$213.352,$214.01,$202.55
2025-03-04,203.8,60853080,$200.11,$206.80,$197.432
2025-03-05,208.36,38610090,$204.80,$209.98,$203.26
2025-03-06,200.7,49863760,$204.40,$205.77,$198.3015
2025-03-07,199.25,59802820,$199.49,$202.2653,$192.53
2025-03-10,194.54,62350930,$195.60,$196.73,$190.85
2025-03-11,196.59,54002880,$193.90,$200.18,$193.40
2025-03-12,198.89,43679280,$200.72,$201.52,$195.29
2025-03-13,193.89,41270760,$198.165,$198.8799,$191.82
2025-03-14,197.95,38096660,$197.41,$198.65,$195.32
2025-03-17,195.74,47341750,$198.77,$199.00,$194.3247
2025-03-18,192.82,40414870,$192.52,$194.00,$189.38
2025-03-19,195.54,39442880,$193.38,$195.965,$191.96
2025-03-20,194.95,38921110,$193.07,$199.32,$192.30
2025-03-21,196.21,60056920,$192.90,$196.99,$192.52
2025-03-24,203.26,41625370,$200.00,$203.64,$199.95
2025-03-25,205.71,31171160,$203.595,$206.21,$203.22
2025-03-26,201.13,32990970,$205.835,$206.01,$199.925
2025-03-27,201.36,27317660,$200.89,$203.79,$199.2821
2025-03-28,192.72,52548230,$198.42,$199.26,$191.881
2025-03-31,190.26,63547560,$188.19,$191.33,$184.40
2025-04-01,192.17,41267320,$187.86,$193.93,$187.20
2025-04-02,196.01,53679200,$187.66,$198.34,$187.66
2025-04-03,178.41,95553620,$182.995,$184.13,$176.92
2025-04-04,171.0,123159400,$167.145,$178.1436,$166.00
2025-04-07,175.26,109327100,$162.00,$183.4099,$161.38
2025-04-08,170.66,87710360,$185.23,$185.90,$168.57
2025-04-09,191.1,116804300,$172.115,$192.65,$169.93
2025-04-10,181.22,68302050,$185.44,$186.8692,$175.8518
2025-04-11,184.87,50594340,$179.93,$185.86,$178.00
2025-04-14,182.12,48002540,$186.84,$187.44,$179.23
2025-04-15,179.59,43641950,$181.41,$182.35,$177.9331
2025-04-16,174.33,51875320,$176.29,$179.1046,$171.41
2025-04-17,172.61,44726450,$176.00,$176.21,$172.00
2025-04-21,167.32,48126110,$169.60,$169.60,$165.285
2025-04-22,173.18,56607200,$169.845,$176.78,$169.35
2025-04-23,180.6,63470150,$183.45,$187.38,$180.19
2025-04-24,186.54,43763200,$180.915,$186.74,$180.18
2025-04-25,188.99,36414330,$187.62,$189.94,$185.49
2025-04-28,187.7,33224730,$190.105,$190.22,$184.885
2025-04-29,187.39,41667260,$183.99,$188.0158,$183.68
2025-04-30,184.42,55176540,$182.17,$185.05,$178.85
2025-05-01,190.2,74265960,$190.63,$191.8071,$187.50
2025-05-02,189.98,77903490,$191.435,$192.88,$186.40
2025-05-05,186.35,35217470,$186.51,$188.18,$185.53
2025-05-06,185.01,29314060,$184.57,$187.93,$183.85
2025-05-07,188.71,44002930,$185.56,$190.99,$185.01
2025-05-08,192.08,41043620,$191.43,$194.33,$188.82
2025-05-09,193.06,29663140,$193.375,$194.69,$191.16
2025-05-12,208.64,75205040,$210.71,$211.66,$205.75
2025-05-13,211.37,56193680,$211.08,$214.84,$210.10
2025-05-14,210.25,38492130,$211.45,$211.93,$208.85
2025-05-15,205.17,64347320,$206.45,$206.88,$202.673
2025-05-16,205.59,43318480,$206.85,$206.85,$204.374
2025-05-19,206.16,34314810,$201.645,$206.62,$201.26
2025-05-20,204.07,29470370,$204.628,$205.5899,$202.65
2025-05-21,201.12,42460920,$201.61,$203.455,$200.06
2025-05-22,203.1,38938880,$201.38,$205.76,$200.16
2025-05-23,200.99,33393550,$198.90,$202.37,$197.85
2025-05-27,206.02,34892040,$203.085,$206.69,$202.19
2025-05-28,204.72,28549750,$205.915,$207.66,$204.41
2025-05-29,205.7,34700010,$208.025,$208.81,$204.23
2025-05-30,205.01,51679410,$204.84,$205.99,$201.695
2025-06-02,206.65,29113320,$204.98,$207.00,$202.68
2025-06-03,205.71,33139120,$207.105,$208.9469,$205.03
2025-06-04,207.23,29915590,$206.55,$208.18,$205.18
2025-06-05,207.91,51979240,$209.55,$212.81,$207.56
2025-06-06,213.57,39832500,$212.40,$213.8699,$210.50
2025-06-09,216.98,38102500,$214.75,$217.85,$212.88
2025-06-10,217.61,31303320,$216.78,$217.69,$214.15
2025-06-11,213.2,39325980,$217.41,$218.40,$212.89
2025-06-12,213.24,27639990,$211.78,$213.58,$211.33
2025-06-13,212.1,29337760,$209.96,$214.05,$209.62
2025-06-16,216.1,33284160,$212.31,$217.06,$211.60
2025-06-17,214.82,32086260,$215.195,$217.41,$214.56
2025-06-18,212.52,44360510,$215.09,$217.96,$212.34
2025-06-20,209.69,75350730,$214.68,$214.89,$208.2709
2025-06-23,208.47,37311730,$209.79,$210.39,$207.3101
2025-06-24,212.77,38378760,$212.135,$214.34,$211.045
2025-06-25,211.99,31755700,$214.615,$216.03,$211.11
2025-06-26,217.12,50480810,$213.12,$218.035,$212.01
2025-06-27,223.3,119217100,$219.92,$223.30,$216.74
2025-06-30,219.39,58887780,$223.52,$223.82,$219.12
2025-07-01,220.46,39256830,$219.50,$221.875,$217.93
2025-07-02,219.92,30894180,$219.73,$221.60,$219.06
2025-07-03,223.41,29632350,$221.82,$224.01,$221.36
2025-07-07,223.47,36604140,$223.00,$224.29,$222.37
2025-07-08,219.36,45691990,$223.915,$224.00,$218.43
2025-07-09,222.54,38155120,$221.07,$224.29,$220.47
2025-07-10,222.26,30370590,$221.55,$222.79,$219.70
2025-07-11,225.02,50518310,$223.58,$226.6799,$222.37
2025-07-14,225.69,35702600,$225.07,$226.66,$224.24
2025-07-15,226.35,34907290,$226.20,$227.27,$225.455
2025-07-16,223.19,39535930,$225.875,$226.10,$222.18
2025-07-17,223.88,31855830,$223.32,$224.50,$222.51
2025-07-18,226.13,37833810,$225.14,$226.40,$222.98
2025-07-21,229.3,40297560,$225.835,$229.69,$225.65
2025-07-22,227.47,37483700,$229.68,$230.00,$226.35
2025-07-23,228.29,28294850,$228.47,$228.79,$227.09
2025-07-24,232.23,42902270,$229.17,$236.00,$228.64
2025-07-25,231.44,28712100,$232.22,$232.48,$231.18
2025-07-28,232.79,26300140,$233.35,$234.29,$232.25
2025-07-29,231.01,33716220,$234.15,$234.72,$230.31
2025-07-30,230.19,32993270,$231.64,$231.80,$229.29
2025-07-31,234.11,104357300,$235.77,$236.53,$231.40
2025-08-01,214.75,122258800,$217.21,$220.4399,$212.80
2025-08-04,211.65,77890150,$217.40,$217.44,$211.42
2025-08-05,213.75,51505120,$213.05,$216.30,$212.87
2025-08-06,222.31,54823050,$214.695,$222.65,$213.7409
2025-08-07,223.13,40603510,$221.00,$226.22,$220.82
2025-08-08,222.69,32970480,$223.14,$223.80,$221.8836
2025-08-11,221.3,31646220,$221.78,$223.05,$220.40
2025-08-12,221.47,37254710,$222.23,$223.50,$219.05
